Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2019-11-05 17:10 (EDT),On Demand,Hannah Marie Corbin,20,Cycling,Intervals,20 min Tabata Ride,2019-11-04 09:51 (EDT),305,255,68%,62,23.33,7.76,418,,,
2019-11-05 17:31 (EDT),On Demand,Hannah Marie Corbin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-22 14:51 (EDT),,,,,,,14,,,
2019-11-06 17:35 (EDT),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min Tabata Ride,2019-11-05 00:50 (EDT),306,256,67%,62,23.25,7.74,419,,,
2019-11-06 17:58 (EDT),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-06 07:00 (EDT),,,,,,,14,,,
2019-11-07 17:08 (EDT),On Demand,Emma Lovewell,30,Cycling,Theme,30 min 80s Ride,2019-11-07 11:19 (EDT),446,248,66%,63,22.99,11.49,611,,,
2019-11-07 17:40 (EDT),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-06 07:00 (EDT),,,,,,,14,,,
2019-11-09 12:06 (EDT),On Demand,Jess King,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-23 16:28 (EDT),,,,,,,14,,,
2019-11-14 17:01 (EDT),On Demand,Ally Love,20,Cycling,Theme,20 min Hip Hop Ride,2019-11-13 09:51 (EDT),300,250,65%,65,23.05,7.68,411,,,
2019-11-14 17:26 (EDT),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-28 13:37 (EDT),,,,,,,14,,,
2019-11-15 17:00 (EDT),Live,Tunde Oyeneyin,30,Cycling,Live DJ,30 min Live DJ Ride,2019-11-15 16:48 (EDT),400,222,65%,60,21.28,10.63,547,,,
2019-11-15 17:33 (EDT),On Demand,Hannah Frankson,5,Cycling,Low Impact,5 min Cool Down Ride,2019-11-12 03:30 (EDT),37,123,44%,71,16.88,1.40,50,,,
2019-11-15 17:39 (EDT),On Demand,Hannah Frankson,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-12 02:00 (EDT),,,,,,,14,,,
2019-11-16 12:32 (EDT),On Demand,Sam Yo,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-13 03:30 (EDT),,,,,,,14,,,
2019-11-21 16:15 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-20 02:17 (EDT),,,,,,,14,,,
2019-12-09 18:15 (EDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-21 15:41 (EDT),,,,,,,14,,,
2019-12-10 18:18 (EDT),On Demand,Sam Yo,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-05 04:37 (EDT),,,,,,,15,,,
2019-12-11 17:12 (EDT),On Demand,Hannah Frankson,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-12 02:00 (EDT),,,,,,,14,,,
2019-12-14 09:02 (EDT),Live,Kendall Toole,45,Cycling,Theme,45 min Hip Hop Ride,2019-12-14 08:50 (EDT),500,190,60%,60,20.09,14.67,684,,,
2019-12-14 09:48 (EDT),On Demand,Kendall Toole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-15 16:00 (EDT),,,,,,,15,,,
2019-12-15 08:00 (EDT),Live,Hannah Frankson,45,Cycling,Theme,45 min Hip Hop Ride,2019-12-15 07:51 (EDT),565,210,60%,65,21.42,16.06,774,,,
2019-12-15 08:48 (EDT),On Demand,Hannah Frankson,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-12 02:00 (EDT),,,,,,,14,,,
2019-12-16 18:15 (EDT),On Demand,Alex Toussaint,15,Cycling,Intervals,15 min Tabata Ride,2019-11-21 15:09 (EDT),203,226,63%,64,21.99,5.50,278,,,
2019-12-16 18:32 (EDT),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-27 04:35 (EDT),,,,,,,14,,,
2019-12-18 17:27 (EDT),On Demand,Hannah Frankson,15,Cycling,Intervals,15 min HIIT Ride,2019-12-16 02:32 (EDT),213,237,65%,62,22.49,5.61,292,,,
2019-12-18 17:43 (EDT),On Demand,Hannah Frankson,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-16 04:23 (EDT),,,,,,,29,,,
2019-12-19 17:45 (EDT),On Demand,Emma Lovewell,30,Cycling,Low Impact,30 min Low Impact Ride,2019-12-15 17:02 (EDT),410,228,65%,61,22.18,11.08,561,,,
2019-12-19 18:17 (EDT),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-06 07:00 (EDT),,,,,,,15,,,
2019-12-20 17:43 (EDT),On Demand,Tunde Oyeneyin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-19 15:30 (EDT),,,,,,,15,,,
2019-12-21 08:00 (EDT),Live,Ben Alldis,30,Cycling,Theme,30 min 80s Ride,2019-12-21 07:50 (EDT),359,200,60%,64,21.04,10.52,492,,,
2019-12-21 08:33 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-20 02:17 (EDT),,,,,,,14,,,
2019-12-24 08:19 (EDT),On Demand,Ally Love,30,Cycling,Theme,30 min Holiday Ride,2019-12-20 14:00 (EDT),421,234,64%,64,22.57,11.28,577,,,
2019-12-24 08:52 (EDT),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-28 13:37 (EDT),,,,,,,15,,,
2019-12-25 08:01 (EDT),Live,Kendall Toole,30,Cycling,Theme,30 min Holiday Ride,2019-12-06 10:18 (EDT),423,235,64%,64,22.58,11.29,577,,,
2019-12-25 08:34 (EDT),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-18 07:00 (EDT),,,,,,,14,,,
2019-12-26 10:11 (EDT),On Demand,Ben Alldis,45,Cycling,Theme,45 min Boxing Day Burn Ride,2019-12-26 00:00 (EDT),592,219,62%,64,21.99,16.48,807,,,
2019-12-26 11:01 (EDT),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-16 20:00 (EDT),,,,,,,14,,,
2019-12-27 17:35 (EDT),,,25,Cycling,,25 min 12 sec Just Ride,,308,204,56%,72,20.91,8.79,420,,,
2019-12-27 18:01 (EDT),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-18 15:40 (EDT),,,,,,,14,,,
2019-12-28 11:58 (EDT),On Demand,Emma Lovewell,5,Stretching,Full Body Stretch,5 min Full Body Stretch,2019-11-24 08:30 (EDT),,,,,,,14,,,
2019-12-30 17:30 (EDT),Live,Christine D'Ercole,45,Cycling,Heart Rate Zone,45 min HRZ Endurance Ride,2019-12-30 17:18 (EDT),571,212,61%,65,21.59,16.19,779,,,
2019-12-30 18:19 (EDT),On Demand,Kendall Toole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-15 07:00 (EDT),,,,,,,14,,,
2019-12-31 17:32 (EDT),On Demand,Alex Toussaint,15,Cycling,Theme,15 min Hip Hop Ride,2019-12-20 08:00 (EDT),232,258,66%,64,23.42,5.85,317,,,
2019-12-31 17:50 (EDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-21 15:41 (EDT),,,,,,,14,,,
2020-01-02 17:36 (EDT),On Demand,Ben Alldis,15,Cycling,Intervals,15 min HIIT Ride,2019-12-24 02:33 (EDT),234,260,67%,63,23.49,5.87,319,,,
2020-01-02 17:54 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-20 02:17 (EDT),,,,,,,14,,,
2020-01-03 16:57 (EDT),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-04 11:00 (EDT),,,,,,,14,,,
2020-01-03 17:04 (EDT),On Demand,Becs Gentry,5,Stretching,Full Body Stretch,5 min Full Body Stretch,2019-12-13 10:24 (EDT),,,,,,,14,,,
